iter	RMSE
289	282397.1383
290	282382.7778
291	282362.8315
292	282351.8497
293	282322.2812
294	282307.654
295	282299.3762
296	282282.3945
297	282270.5645
298	282237.4028
299	282209.0835
300	282195.162
301	282171.4108
302	282156.7184
303	282140.3731
304	282116.7434
305	282101.165
306	282084.1022
307	282070.9912
308	282061.2756
309	282046.3122
310	282032.0942
311	281988.8686
312	281965.2775
313	281953.1388
314	281932.9655
315	281920.4684
316	281908.8351
317	281892.7316
318	281874.6538
319	281850.2943
320	281835.0328
321	281820.4197
322	281810.5076
323	281804.7165
324	281788.3496
325	281774.8484
326	281744.7969
327	281730.0933
328	281698.2358
329	281677.4546
330	281663.1348
331	281649.3173
332	281634.3586
333	281624.0491
334	281610.9444
335	281599.9041
336	281591.2546
337	281574.4342
338	281564.2013
339	281541.8601
340	281531.6563
341	281522.7579
342	281481.1522
343	281470.7827
344	281457.0953
345	281445.9281
346	281436.863
347	281428.7788
348	281417.7537
349	281405.1086
350	281385.7175
351	281359.5023
352	281342.3352
353	281332.1234
354	281316.6551
355	281279.1514
356	281266.9897
357	281244.7174
358	281233.6699
359	281220.5765
360	281212.5278
361	281203.7082
362	281187.9573
363	281176.568
364	281122.3368
365	281110.2977
366	281102.0519
367	281088.3507
368	281080.8915
369	281065.8609
370	281038.3219
371	281023.8799
372	281014.823
373	281001.561
374	280989.1137
375	280981.6473
376	280971.2732
377	280949.5811
378	280938.4178
379	280927.7536
380	280905.4862
381	280887.3336
382	280876.1748
383	280856.7955
384	280831.0969
385	280823.7735
386	280799.3072
387	280785.0024
388	280772.2507
389	280750.8118
390	280741.9902
391	280730.4011
392	280721.9959
393	280714.5306
394	280690.1225
395	280679.7989
396	280669.5309
397	280655.1462
398	280632.8379
399	280612.6912
400	280604.9018
401	280594.083
402	280584.5686
403	280574.9362
404	280568.2272
405	280555.9006
406	280545.501
407	280534.2739
408	280522.6673
409	280505.1459
410	280493.5552
411	280483.5196
412	280473.4875
413	280465.2052
414	280449.0228
415	280441.4725
416	280409.1607
417	280402.8574
418	280391.1819
419	280382.3923
420	280354.0961
421	280345.4545
422	280332.0005
423	280311.5985
424	280300.9191
425	280282.9065
426	280273.0858
427	280265.0125
428	280257.8747
429	280248.5354
430	280235.7942
431	280225.8266
432	280205.9309
433	280188.0554
434	280177.5463
435	280169.8058
436	280163.4359
437	280147.7754
438	280133.8053
439	280130.2038
440	280111.5872
441	280096.0721
442	280087.9624
443	280067.7951
444	280057.9556
445	280048.1725
446	280038.4542
447	280031.3818
448	279988.5163
449	279972.2603
450	279965.2126
451	279958.0116
452	279949.3686
453	279942.3515
454	279931.3828
455	279921.8234
456	279913.3627
457	279906.3206
458	279898.4281
459	279878.5804
460	279860.3695
461	279842.2764
462	279819.4368
463	279813.1864
464	279807.0588
465	279776.6403
466	279773.1807
467	279768.0215
468	279752.6363
469	279739.6216
470	279736.7861
471	279731.5505
472	279716.842
473	279707.3738
474	279685.4997
475	279666.192
476	279658.6872
477	279652.9599
478	279646.2892
479	279636.891
480	279630.0719
481	279616.4086
482	279598.5916
483	279591.1057
484	279570.0791
485	279548.557
486	279540.8735
487	279504.638
488	279483.8644
489	279475.4378
490	279464.9215
491	279447.3654
492	279440.5909
493	279430.9386
494	279422.7849
495	279415.2984
496	279390.9073
497	279382.3813
498	279373.649
499	279370.8764
500	279355.4737
501	279344.2602
502	279334.8434
503	279318.4532
504	279308.681
505	279303.1324
506	279299.3023
507	279286.0274
508	279278.4442
509	279265.6448
510	279248.5418
511	279236.9663
512	279230.9021
513	279219.5294
514	279211.4365
515	279199.6929
516	279191.124
517	279178.801
518	279149.2599
519	279141.7811
520	279135.1804
521	279106.8051
522	279098.728
523	279087.6532
524	279069.5958
525	279059.5688
526	279051.4056
527	279039.804
528	279015.7635
529	279003.1016
530	278987.0732
531	278982.2865
532	278971.1895
533	278967.6193
534	278962.777
535	278942.4011
536	278929.1806
537	278922.4805
538	278909.2513
539	278892.3541
540	278884.7286
541	278873.1131
542	278867.7031
543	278854.8011
544	278837.7557
545	278820.1296
546	278807.9678
547	278795.7187
548	278782.8266
549	278771.2116
550	278759.0566
551	278753.7025
552	278743.0747
553	278739.2452
554	278726.6871
555	278716.1185
556	278712.0286
557	278705.1758
558	278695.788
559	278685.8342
560	278682.3697
561	278678.7157
562	278671.6807
563	278654.5074
564	278636.8164
565	278626.0635
566	278616.3746
567	278611.8182
568	278601.6964
569	278586.8066
570	278573.3673
571	278566.1108
572	278552.5756
573	278548.6356
574	278523.6365
575	278512.2007
576	278497.6739
577	278486.0489
578	278481.0526
579	278456.9053
580	278451.2445
581	278444.9486
582	278434.9083
583	278418.4135
584	278404.5818
585	278393.6774
586	278379.3028
587	278363.7539
588	278337.4875
589	278323.8532
590	278304.9558
591	278291.9198
592	278279.957
593	278267.2066
594	278262.2762
595	278253.6909
596	278251.5419
597	278247.5535
598	278239.3022
599	278226.7673
600	278215.9892
601	278211.1994
602	278207.8684
603	278185.4936
604	278175.0523
605	278162.7856
606	278159.7193
607	278157.6489
608	278155.0079
609	278144.5844
610	278131.5243
611	278123.7794
612	278106.7243
613	278100.5293
614	278087.0894
615	278071.4592
616	278051.0611
617	278046.3598
618	278023.4683
619	278011.8096
620	278006.9853
621	277992.1741
622	277979.6165
623	277970.3234
624	277964.2627
625	277948.7854
626	277935.5397
627	277921.2752
628	277915.0386
629	277910.5255
630	277894.156
631	277876.0866
632	277850.6977
633	277845.9279
634	277841.0368
635	277831.8478
636	277824.4878
637	277820.1889
638	277811.8792
639	277807.7882
640	277791.4136
641	277786.259
642	277776.4818
643	277773.3298
644	277766.8202
645	277758.3737
646	277749.6082
647	277715.935
648	277711.432
649	277706.805
650	277697.4204
651	277691.7268
652	277687.5985
653	277680.7616
654	277669.5277
655	277665.3406
656	277655.6113
657	277646.6759
658	277633.7375
659	277631.2458
660	277616.9162
661	277610.6966
662	277602.376
663	277596.0168
664	277591.7065
665	277585.4558
666	277571.967
667	277570.095
668	277557.1555
669	277546.2692
670	277531.3704
671	277522.5225
672	277516.6939
673	277506.8329
674	277495.0587
675	277487.6048
676	277476.0017
677	277473.816
678	277452.4063
679	277448.3332
680	277440.1795
681	277419.1267
682	277413.3699
683	277399.8223
684	277385.1776
685	277379.1564
686	277369.543
687	277364.2575
688	277352.1835
689	277339.109
690	277319.9624
691	277304.0769
692	277298.4752
693	277290.2585
694	277279.0056
695	277274.2657
696	277258.6658
697	277250.9779
698	277244.3567
699	277231.8028
700	277224.7382
701	277210.6818
702	277206.0588
703	277198.8462
704	277187.3846
705	277180.4507
706	277170.4185
707	277156.6784
708	277149.6382
709	277143.7693
710	277135.5056
711	277128.8651
712	277106.0248
713	277096.8195
714	277088.1145
715	277072.628
716	277062.6801
717	277053.823
718	277042.045
719	277038.4046
720	277033.5215
721	277007.1015
722	276999.905
723	276987.6576
724	276978.3388
725	276969.2203
726	276960.1288
727	276952.3765
728	276929.9924
729	276920.832
730	276912.1872
731	276903.1711
732	276898.3247
733	276892.668
734	276878.679
735	276870.2685
736	276851.342
737	276830.3248
738	276824.0011
739	276817.604
740	276803.0117
741	276791.4941
742	276783.6645
743	276774.6443
744	276760.8536
745	276756.0869
746	276735.5843
747	276724.2697
748	276720.6307
749	276704.823
750	276693.3417
751	276688.6976
752	276682.7183
753	276668.9055
754	276665.1745
755	276652.4074
756	276644.7269
757	276636.7976
758	276630.1255
759	276620.2087
760	276614.9949
761	276609.4969
762	276601.9702
