iter	Passed	Remaining
410	4174	5982
411	4184	5972
412	4194	5961
413	4203	5950
414	4214	5940
415	4224	5929
416	4234	5920
417	4244	5909
418	4253	5897
419	4262	5886
420	4271	5874
421	4280	5862
422	4289	5850
423	4299	5840
424	4308	5829
425	4317	5817
426	4326	5805
427	4334	5792
428	4343	5781
429	4352	5769
430	4362	5759
431	4371	5748
432	4381	5737
433	4390	5726
434	4399	5714
435	4409	5703
436	4417	5691
437	4426	5680
438	4436	5668
439	4445	5657
440	4454	5645
441	4462	5633
442	4472	5623
443	4480	5610
444	4490	5600
445	4499	5589
446	4508	5577
447	4519	5568
448	4528	5556
449	4537	5545
450	4545	5533
451	4554	5522
452	4564	5511
453	4573	5500
454	4583	5490
455	4593	5479
456	4603	5470
457	4614	5460
458	4624	5450
459	4635	5442
460	4647	5433
461	4659	5425
462	4670	5417
463	4682	5408
464	4694	5401
465	4707	5393
466	4719	5386
467	4733	5380
468	4746	5374
469	4759	5367
470	4772	5359
471	4786	5354
472	4802	5350
473	4818	5347
474	4835	5343
475	4851	5341
476	4869	5338
477	4886	5336
478	4903	5333
479	4920	5330
480	4938	5328
481	4955	5326
482	4972	5322
483	4991	5321
484	5008	5318
485	5026	5315
486	5044	5313
487	5062	5311
488	5079	5307
489	5094	5302
490	5110	5297
491	5125	5291
492	5141	5287
493	5156	5282
494	5173	5278
495	5189	5273
496	5206	5269
497	5226	5268
498	5243	5264
499	5262	5262
500	5280	5259
501	5298	5256
502	5316	5252
503	5333	5248
504	5350	5244
505	5367	5240
506	5383	5234
507	5401	5231
508	5419	5227
509	5435	5222
510	5452	5217
511	5469	5213
512	5487	5209
513	5504	5204
514	5521	5199
515	5538	5194
516	5555	5190
517	5572	5184
518	5588	5179
519	5604	5172
520	5620	5167
521	5636	5161
522	5652	5155
523	5668	5149
524	5684	5142
525	5699	5136
526	5716	5130
527	5732	5124
528	5748	5118
529	5764	5112
530	5782	5106
531	5799	5101
532	5817	5097
533	5836	5093
534	5854	5088
535	5872	5083
536	5890	5079
537	5907	5072
538	5922	5065
539	5939	5059
540	5954	5052
541	5969	5044
542	5983	5036
543	5999	5028
544	6015	5022
545	6031	5015
546	6045	5006
547	6060	4999
548	6078	4993
549	6093	4985
550	6110	4979
551	6127	4973
552	6144	4966
553	6159	4959
554	6176	4952
555	6193	4945
556	6210	4939
557	6226	4931
558	6242	4924
559	6259	4917
560	6276	4911
561	6291	4903
562	6307	4895
563	6324	4889
564	6342	4883
565	6358	4875
566	6373	4867
567	6389	4859
568	6406	4852
569	6422	4845
570	6438	4837
571	6455	4829
572	6470	4821
573	6486	4814
574	6502	4805
575	6518	4798
576	6534	4790
577	6549	4782
578	6565	4774
579	6581	4765
580	6596	4757
581	6614	4750
582	6630	4742
583	6647	4735
584	6665	4728
585	6681	4720
586	6698	4712
587	6715	4705
588	6731	4696
589	6749	4689
590	6766	4683
591	6784	4675
592	6802	4668
593	6820	4661
594	6837	4654
595	6855	4647
596	6874	4640
597	6891	4632
598	6909	4625
599	6926	4617
600	6943	4609
601	6961	4602
602	6985	4598
603	7013	4598
604	7036	4594
605	7058	4589
606	7076	4581
607	7094	4574
608	7112	4566
609	7130	4559
610	7148	4550
611	7166	4543
612	7183	4535
613	7203	4528
614	7224	4522
615	7244	4516
616	7265	4510
617	7286	4503
618	7304	4495
619	7322	4487
620	7338	4478
621	7357	4471
622	7379	4465
623	7400	4459
624	7417	4450
625	7433	4441
626	7448	4431
627	7464	4421
628	7480	4412
629	7496	4402
630	7512	4393
631	7527	4383
632	7543	4373
633	7558	4363
634	7572	4352
635	7588	4342
636	7603	4332
637	7618	4322
638	7634	4313
639	7649	4303
640	7664	4292
641	7679	4282
642	7693	4271
643	7707	4260
644	7722	4250
645	7737	4240
646	7754	4230
647	7769	4220
648	7784	4210
649	7800	4200
650	7816	4190
651	7832	4180
652	7847	4170
653	7862	4159
654	7877	4149
655	7894	4139
656	7909	4129
657	7925	4119
658	7941	4109
659	7957	4099
660	7973	4089
661	7988	4078
662	8004	4068
663	8023	4060
664	8041	4051
665	8060	4042
666	8079	4033
667	8098	4024
668	8118	4016
669	8137	4007
670	8154	3998
671	8170	3988
672	8188	3978
673	8206	3969
674	8224	3959
675	8241	3950
